FII DERIVATIVES STATISTICS FOR 01-Dec-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,12005,2400.14,11579,2292.41,139890,27688.05
BANKNIFTY FUTURES,4210,877.21,2747,571.62,27865,5758.92
FINNIFTY FUTURES,27,4.92,42,7.63,270,49.03
MIDCPNIFTY FUTURES,510,99.90,811,159.74,15855,3132.38
NIFTY FUTURES,7243,1415.50,7944,1547.33,95247,18634.20
NIFTYNXT50 FUTURES,15,2.61,35,6.09,653,113.51
,,,,,,
INDEX OPTIONS,8547912,1681967.91,8542091,1680420.18,2272210,447273.02
BANKNIFTY OPTIONS,107273,22491.87,106420,22327.17,207231,42853.92
FINNIFTY OPTIONS,5186,952.15,4874,896.81,4671,844.31
MIDCPNIFTY OPTIONS,19362,3863.13,19770,3943.37,15452,3037.91
NIFTY OPTIONS,8415992,1654643.34,8410949,1653239.12,2044569,400487.21
NIFTYNXT50 OPTIONS,99,17.42,78,13.71,287,49.67
,,,,,,
STOCK FUTURES,193885,13758.16,200890,14220.98,5800539,395564.98
,,,,,,
STOCK OPTIONS,240347,17631.55,245200,17931.21,283986,19268.17
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
