FII DERIVATIVES STATISTICS FOR 03-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,9292,1761.85,21878,4115.00,218976,41151.34
BANKNIFTY FUTURES,3330,650.72,3022,590.11,31227,6107.03
FINNIFTY FUTURES,22,3.79,42,7.24,159,27.44
MIDCPNIFTY FUTURES,595,106.93,400,71.78,21947,3952.92
NIFTY FUTURES,5302,993.05,18340,3433.19,165029,30958.45
NIFTYNXT50 FUTURES,43,7.36,74,12.68,614,105.50
,,,,,,
INDEX OPTIONS,6775140,1258745.99,6755506,1255081.94,2014832,377421.46
BANKNIFTY OPTIONS,113813,22078.38,112401,21885.09,190667,37096.60
FINNIFTY OPTIONS,6247,1085.46,6621,1148.87,3015,517.90
MIDCPNIFTY OPTIONS,27686,4945.95,27047,4815.86,28057,5025.30
NIFTY OPTIONS,6627366,1230631.36,6609437,1227232.11,1793022,334769.53
NIFTYNXT50 OPTIONS,28,4.83,0,0.00,71,12.13
,,,,,,
STOCK FUTURES,276221,19598.91,304885,21913.71,5607973,391392.99
,,,,,,
STOCK OPTIONS,302398,22426.36,305158,22641.62,237034,16313.34
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
