FII DERIVATIVES STATISTICS FOR 10-Jul-2025,,,,,,,,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,,,,,,,,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,,,,,,,
INDEX FUTURES,12753,2456.21,22297,4290.15,168201,32231.71,,,,,,,
BANKNIFTY FUTURES,2553,512.19,3774,756.61,26685,5342.38,,,,,,,
FINNIFTY FUTURES,47,8.29,35,6.17,642,113.05,,,,,,,
MIDCPNIFTY FUTURES,454,84.43,845,157.16,19230,3567.88,,,,,,,
NIFTY FUTURES,9635,1840.32,17596,3362.13,121041,23105.02,,,,,,,
NIFTYNXT50 FUTURES,64,10.97,47,8.08,603,103.37,,,,,,,
,,,,,,,,,,,,,
INDEX OPTIONS,12003410,2292246.76,11968014,2285481.14,1081354,206888.74,,,,,,,
BANKNIFTY OPTIONS,88431,17815.51,89421,18002.77,169299,33748.99,,,,,,,
FINNIFTY OPTIONS,9975,1777.18,11025,1953.57,10133,1777.31,,,,,,,
MIDCPNIFTY OPTIONS,21253,4015.73,21447,4043.09,28368,5246.79,,,,,,,
NIFTY OPTIONS,11883701,2268629.58,11846075,2261473.68,873384,166086.52,,,,,,,
NIFTYNXT50 OPTIONS,50,8.76,46,8.04,170,29.12,,,,,,,
,,,,,,,,,,,,,
STOCK FUTURES,233246,16408.45,292655,20259.41,5494888,386653.93,,,,,,,
,,,,,,,,,,,,,
STOCK OPTIONS,299755,21767.85,259142,18726.78,777290,54531.3,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Both buy and sell positions have been considered,,,,,,,,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,,,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value & Open Interest at the end of day:,,,,,,,,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,,,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,,,,,,,,
