FII DERIVATIVES STATISTICS FOR 19-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,16391,3127.68,19505,3731.88,197737,37698.50
BANKNIFTY FUTURES,2447,476.98,3274,638.09,28160,5491.35
FINNIFTY FUTURES,45,7.79,43,7.45,574,99.33
MIDCPNIFTY FUTURES,566,105.34,316,58.75,23583,4385.37
NIFTY FUTURES,13163,2507.94,15860,3025.50,144917,27634.58
NIFTYNXT50 FUTURES,170,29.63,12,2.10,503,87.87
,,,,,,
INDEX OPTIONS,7033604,1336867.88,7019965,1334215.06,2018410,384205.35
BANKNIFTY OPTIONS,176635,34343.58,178903,34786.06,262704,50992.33
FINNIFTY OPTIONS,13577,2358.65,13411,2331.01,7038,1213.56
MIDCPNIFTY OPTIONS,45471,8406.65,45444,8395.58,34757,6442.80
NIFTY OPTIONS,6797801,1291738.49,6782089,1288682.07,1713541,325491.98
NIFTYNXT50 OPTIONS,120,20.52,118,20.34,371,64.68
,,,,,,
STOCK FUTURES,293337,20622.61,297668,21282.47,5619036,400011.05
,,,,,,
STOCK OPTIONS,407931,30180.68,414125,30628.79,455008,32338.04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
