FII DERIVATIVES STATISTICS FOR 27-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,15320,3091.14,11836,2344.56,138787,27540.65
BANKNIFTY FUTURES,6846,1422.00,2784,577.92,27130,5623.85
FINNIFTY FUTURES,21,3.84,15,2.74,362,66.12
MIDCPNIFTY FUTURES,640,125.83,772,151.75,15983,3168.40
NIFTY FUTURES,7794,1536.17,8190,1599.11,94687,18573.68
NIFTYNXT50 FUTURES,19,3.30,75,13.03,625,108.61
,,,,,,
INDEX OPTIONS,5623951,1103970.12,5577293,1094705.92,1832097,361410.89
BANKNIFTY OPTIONS,91085,19093.64,90877,19056.57,180243,37336.50
FINNIFTY OPTIONS,2991,550.42,2797,515.08,2410,437.69
MIDCPNIFTY OPTIONS,17293,3419.16,16977,3356.53,12902,2541.85
NIFTY OPTIONS,5512395,1080873.94,5466519,1071756.05,1636329,321058.07
NIFTYNXT50 OPTIONS,187,32.95,123,21.68,213,36.78
,,,,,,
STOCK FUTURES,208793,14803.88,242617,17417.85,5771935,394454.35
,,,,,,
STOCK OPTIONS,218693,15949.82,229589,16660.25,207111,14077.50
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
