FII DERIVATIVES STATISTICS FOR 28-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,70598,13106.34,85904,15974.45,201756,37265.83
BANKNIFTY FUTURES,23900,4530.83,24028,4573.76,37868,7192.79
FINNIFTY FUTURES,277,46.54,427,71.83,867,145.71
MIDCPNIFTY FUTURES,4109,725.76,4956,877.12,23683,4175.68
NIFTY FUTURES,42024,7755.41,56183,10400.16,138693,25644.85
NIFTYNXT50 FUTURES,288,47.8,310,51.58,645,106.81
,,,,,,
INDEX OPTIONS,23811278,4409775.24,23833958,4413512.54,1118158,206131.68
BANKNIFTY OPTIONS,4724905,896894.4,4749515,901323.09,159592,30062.54
FINNIFTY OPTIONS,682911,114757.82,686605,115329.59,458,76.33
MIDCPNIFTY OPTIONS,608674,107660.47,608114,107465.21,7976,1399.72
NIFTY OPTIONS,17793635,3290271.41,17788057,3289116.9,950131,174592.92
NIFTYNXT50 OPTIONS,1153,191.14,1667,277.75,1,0.16
,,,,,,
STOCK FUTURES,536540,37337.04,553797,38649.23,5480440,374044.82
,,,,,,
STOCK OPTIONS,192195,13735.24,238434,16960.57,131248,8712.62
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
