FII DERIVATIVES STATISTICS FOR 28-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,28539,5341.71,34747,6520.31,232700,43507.94
BANKNIFTY FUTURES,5931,1169.92,7715,1524.13,38221,7523.61
FINNIFTY FUTURES,116,20.17,122,21.18,651,112.84
MIDCPNIFTY FUTURES,5769,1046.62,5959,1081.57,20788,3763.2
NIFTY FUTURES,16459,3060.66,20698,3850.93,172403,32001.63
NIFTYNXT50 FUTURES,264,44.34,253,42.51,637,106.66
,,,,,,
INDEX OPTIONS,5549666,1038540.93,5590892,1046528.51,1902339,354967.46
BANKNIFTY OPTIONS,467047,92856.23,468061,93080.11,297794,58456.11
FINNIFTY OPTIONS,68434,11925.76,66597,11614.83,16673,2884.41
MIDCPNIFTY OPTIONS,236655,43257.08,236659,43239.66,64632,11671.59
NIFTY OPTIONS,4777250,890454.15,4819319,898549.97,1522874,281894.26
NIFTYNXT50 OPTIONS,280,47.72,256,43.94,366,61.09
,,,,,,
STOCK FUTURES,2103383,142891.98,2069991,140768.32,5528278,378096.59
,,,,,,
STOCK OPTIONS,461735,33987.63,456220,33638.43,822431,55677.43
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
